rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon
-98.91607,-98.79382,-99.00524,-96.5642,-85.25614,-84.329025,-99.61321,-96.73241,-114.72876,5.0453453,3.084508,2.9088688,-8.055609,-34.951313
-99.370155,-100.64263,-97.94762,-95.475975,-88.22201,-89.32632,-99.68771,-96.95536,-115.50209,5.0000296,3.0324783,3.1035385,-8.055489,-34.951256
-95.02811,-85.91131,-89.01757,-73.02078,-86.63047,-94.52266,-93.14253,-95.46453,-95.978264,2.7952788,2.1327446,4.642156,-8.050144,-34.948814
-100.77501,-113.96194,-100.18284,-114.50759,-99.654564,-99.7981,-98.489914,-92.30831,-114.896675,4.972023,2.9883919,1.9720017,-8.055403,-34.9517
-88.18992,-89.969696,-85.28302,-77.49036,-88.81533,-92.63611,-91.88697,-91.144196,-95.33584,1.9438752,3.7452772,4.176414,-8.049371,-34.95176
-77.856094,-92.09687,-80.96993,-90.2862,-98.374084,-89.759155,-92.950386,-97.416885,-95.82314,3.1597757,4.597154,1.8055475,-8.050728,-34.955154
-102.78272,-111.02757,-103.355736,-110.79963,-96.32609,-94.495636,-99.417595,-96.1507,-115.314156,4.96233,3.0337257,2.7778702,-8.05578,-34.95139
-86.49682,-98.90756,-86.02601,-100.24115,-103.11074,-91.824615,-81.51431,-85.69378,-87.065605,5.298048,5.4087,-0.23236477,-8.054797,-34.958073
-79.008484,-92.46715,-82.529915,-89.09661,-96.435555,-99.46063,-95.07807,-100.679054,-92.62394,2.9040153,4.6861014,1.9065092,-8.0503845,-34.955112
-114.62119,-114.674515,-115.48543,-115.22442,-99.05434,-96.378555,-87.35202,-79.80866,-114.91453,5.0052547,3.0512471,2.8802927,-8.0557165,-34.951492
-104.76864,-114.68041,-104.292725,-114.02376,-105.39584,-111.85765,-98.690506,-95.86571,-110.90609,4.9559956,3.0543966,1.8562269,-8.055618,-34.951683
-83.95526,-96.81946,-86.03054,-95.61272,-99.901726,-93.44181,-98.03901,-93.30776,-98.011955,3.9475007,3.926771,2.0116432,-8.053207,-34.953613
-96.78348,-91.566635,-90.532555,-85.849464,-76.99564,-80.82475,-88.823524,-90.27251,-97.926994,5.4983406,2.3352947,3.5460863,-8.056723,-34.949543
-104.34164,-113.56514,-106.54014,-113.229965,-105.95768,-111.45498,-102.23681,-96.807335,-112.04945,4.919152,2.9758725,1.9775922,-8.055738,-34.95165
-101.58863,-114.04934,-102.54005,-114.876564,-101.2851,-95.150764,-95.89482,-97.90121,-114.53772,4.9720845,3.0525925,1.9674627,-8.055645,-34.95171
-84.969406,-101.71794,-87.385895,-104.245026,-102.80146,-92.55273,-90.63628,-101.67869,-89.39678,5.2605,5.5726457,0.364108,-8.053796,-34.95817
-102.44742,-115.06505,-101.3075,-112.568474,-98.60455,-96.18912,-94.60288,-96.11299,-115.25727,4.9611955,3.0194314,1.8606603,-8.055453,-34.951775
-90.047935,-94.45217,-89.90744,-83.610954,-79.53635,-81.17386,-91.739235,-87.8839,-96.80022,4.4389367,2.5775373,3.4326534,-8.05465,-34.950806
-107.354,-108.220856,-107.58246,-109.43262,-105.47853,-104.85257,-103.791306,-101.39435,-114.69673,5.0159774,3.0476665,1.9209204,-8.055477,-34.951675
-105.520996,-113.86554,-107.21391,-106.07243,-97.658844,-93.53948,-98.532104,-95.53864,-115.30587,5.0041013,3.0149345,1.913116,-8.055489,-34.951626
-104.91412,-114.37393,-105.00388,-115.01993,-104.97414,-115.281364,-94.61929,-90.56289,-106.63935,4.9858913,3.0759478,1.8222482,-8.055679,-34.951675
-99.378975,-98.55061,-98.84812,-97.51228,-87.16911,-86.3869,-99.25116,-97.86971,-115.328926,4.9878063,3.054973,2.9225848,-8.055447,-34.951324
-100.24691,-109.90776,-100.08553,-107.3045,-103.32105,-109.22638,-75.27048,-92.72405,-105.001595,4.8823633,2.9836326,2.0457308,-8.055025,-34.95209
-91.2441,-87.63081,-88.36686,-81.183945,-87.76783,-88.10776,-91.92176,-93.57048,-94.24927,2.4233704,3.2643623,3.6864738,-8.0497675,-34.9515
-104.229645,-111.54458,-107.918304,-109.15577,-100.54921,-94.371796,-99.04803,-98.42891,-115.217316,5.029668,3.080742,1.9224551,-8.055702,-34.951675
-106.32924,-107.42986,-107.587166,-110.21749,-97.37844,-98.196915,-100.699036,-97.867096,-115.01176,5.0087376,3.0299225,1.9544662,-8.055576,-34.951584
-77.14226,-85.77855,-80.349686,-86.61161,-91.33601,-92.148796,-89.28416,-90.89289,-91.938095,2.0848584,4.844867,3.094122,-8.048245,-34.954166
-98.12338,-96.629654,-98.43044,-98.799805,-90.65139,-90.64884,-98.42858,-100.24396,-115.13739,5.030499,3.017755,3.0881124,-8.055567,-34.951138
-109.0548,-107.244316,-106.95924,-109.26516,-103.17091,-102.31412,-102.52737,-99.686615,-115.057076,5.0018497,3.0031533,1.950757,-8.05538,-34.95169
-106.99507,-114.7677,-107.1642,-113.54764,-97.90873,-91.46375,-88.95918,-88.43746,-114.975075,4.9930606,3.0529346,2.233929,-8.055631,-34.951668
-90.214226,-96.51052,-89.09998,-97.730316,-91.15146,-91.55641,-81.52557,-69.608055,-93.3321,5.4441214,4.1446815,0.5677151,-8.05568,-34.95476
-103.50891,-109.789314,-106.08077,-110.62406,-96.770515,-90.50399,-98.4381,-97.6601,-115.18299,4.9952707,3.0928104,2.4549077,-8.055741,-34.951508
-89.790665,-86.779076,-86.6378,-78.68878,-89.973015,-91.03795,-91.133156,-92.46312,-94.73058,1.6105163,3.6540532,4.1828446,-8.048441,-34.951466
-93.063934,-91.59248,-87.71272,-68.70961,-75.37282,-81.772575,-87.15738,-94.6766,-97.96335,5.0145717,1.4531393,4.342988,-8.0547495,-34.94805
-106.81185,-108.575874,-107.69934,-109.75225,-106.43727,-106.87872,-105.22061,-102.45634,-114.26337,5.0132856,3.0389218,2.0111897,-8.055546,-34.951595
-113.50215,-114.541855,-113.56163,-114.508835,-112.67594,-112.81581,-86.756134,-84.60199,-114.11235,4.8815584,3.0837674,1.9474473,-8.05542,-34.951878
-104.25044,-112.54041,-108.07159,-108.30143,-96.03701,-92.98452,-97.163605,-96.94197,-115.05044,5.024515,3.060453,1.8084908,-8.055585,-34.95165
-105.954544,-115.422386,-107.06936,-104.37893,-98.491005,-95.04472,-97.91889,-94.44231,-115.09962,4.998951,3.025871,2.0061471,-8.055403,-34.95161
-101.216934,-113.469025,-102.95075,-113.68451,-99.1041,-93.83695,-95.19855,-97.340164,-115.0102,4.9845424,3.0435672,1.8158431,-8.05562,-34.95175
-99.56206,-99.744255,-98.33583,-98.60709,-89.22956,-91.40624,-99.81168,-99.68711,-115.20102,4.958502,3.0248427,2.9995456,-8.055484,-34.951344
-107.4958,-108.39707,-107.35551,-109.49911,-105.16543,-103.324936,-103.205246,-101.40983,-115.160675,5.0142655,3.0397727,1.9371502,-8.055459,-34.951683
-94.393486,-103.09124,-94.91166,-103.43233,-99.25544,-108.26715,-84.11031,-72.388626,-94.28235,5.240262,3.562488,1.2822083,-8.055869,-34.953224
