rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor
-103.23317,-109.97039,-106.253265,-108.37308,-95.05589,-104.4418,-99.00858,-100.15336,-114.45144,4.99451,3.0142038,2.0605855,-8.055684,-34.951332,1.0
-105.52013,-110.08531,-106.86705,-108.50469,-97.51878,-102.74878,-99.74232,-99.92561,-114.45438,4.9615765,3.02623,1.9874631,-8.055605,-34.95173,1.0
-102.173,-115.195694,-96.9867,-114.31865,-97.32153,-95.82511,-96.15722,-97.710724,-114.26688,4.980216,3.015245,2.0569854,-8.055424,-34.951595,1.0
-102.3449,-110.40951,-107.03796,-110.24354,-101.93421,-96.079796,-100.72834,-99.305084,-114.52077,4.967479,3.0311286,2.0405636,-8.055784,-34.95161,1.0
-104.38207,-110.28792,-107.044876,-108.30512,-96.8548,-101.37556,-99.717316,-98.49259,-114.47744,4.9688625,3.0082047,2.083606,-8.055493,-34.951313,1.0
-98.68185,-114.55461,-95.69557,-115.455124,-100.11275,-95.84451,-98.04379,-97.20428,-114.33642,5.028097,3.0162132,2.0051563,-8.055506,-34.95169,1.0
-105.928635,-108.81509,-106.09374,-108.31638,-106.79026,-104.899925,-105.61716,-102.902084,-114.324066,4.9758863,3.015276,2.0546272,-8.055424,-34.951595,1.0
-91.715515,-99.94275,-89.831154,-95.50746,-85.68999,-94.67251,-77.9525,-66.24144,-92.72848,5.6490917,4.811796,0.7832609,-8.05661,-34.95519,0.0
-83.91543,-97.39638,-88.41875,-99.13461,-98.05133,-91.60858,-83.14069,-91.84242,-90.20703,4.287397,5.9050117,1.5374848,-8.051709,-34.95771,0.0
-104.12858,-109.15055,-106.30277,-107.924324,-100.74675,-104.53894,-102.59545,-101.50256,-114.466896,4.986367,3.0127418,2.0994213,-8.055493,-34.951313,1.0
-91.78548,-101.29172,-88.47623,-94.56924,-89.5552,-96.536194,-73.71404,-63.403263,-84.32538,5.7674637,5.1004596,0.49727345,-8.05652,-34.95617,0.0
-97.016396,-88.00213,-83.51955,-85.67391,-71.810524,-68.3063,-83.37424,-84.04898,-93.25453,7.0392933,2.050161,5.201688,-8.05875,-34.94629,0.0
-102.84269,-115.15716,-97.17121,-114.53217,-95.5141,-96.054855,-97.245026,-98.27804,-114.19622,4.977908,2.997937,2.382063,-8.055493,-34.951313,1.0
-92.34727,-85.98884,-97.11332,-76.01135,-95.05096,-103.37727,-97.93323,-102.64506,-96.3873,2.8717546,1.3773806,5.1121635,-8.049371,-34.94735,0.0
-105.99017,-116.57466,-105.60392,-102.46051,-97.93711,-94.86082,-96.80616,-95.54688,-114.50043,5.0059767,2.9929478,1.9951706,-8.05538,-34.951736,1.0
-105.08421,-76.53272,-97.73676,-88.780396,-84.99142,-82.198784,-74.499435,-89.80639,-83.1597,2.2642646,1.9714692,6.0353694,-8.04704,-34.94521,0.0
-105.70439,-116.14929,-104.96465,-104.99427,-99.460815,-96.36313,-97.4141,-97.64112,-114.384056,5.0209007,3.0011263,2.0118842,-8.05538,-34.951736,1.0
-101.93346,-110.62672,-105.94552,-111.31382,-96.601685,-90.51983,-96.707085,-98.68905,-114.153435,5.0055914,2.9825807,2.1341083,-8.055834,-34.951363,1.0
-86.28439,-99.36091,-90.42688,-99.00451,-97.66018,-89.45955,-87.35059,-89.52751,-80.83799,5.0785217,6.2674365,0.8481542,-8.05325,-34.959732,0.0
-102.95838,-110.02847,-107.01573,-109.644135,-95.89767,-93.23414,-97.834984,-97.88709,-114.38864,4.968734,3.0033317,2.073383,-8.055684,-34.951332,1.0
-87.99448,-85.52005,-96.65702,-87.51001,-103.08274,-93.10169,-92.43109,-100.14396,-95.300186,1.793402,2.4398887,5.8301644,-8.04712,-34.94756,0.0
-100.802704,-115.06526,-97.16722,-114.492836,-98.40113,-95.883064,-95.735214,-96.564644,-114.51421,5.0248084,3.0064285,2.0208716,-8.055506,-34.95169,1.0
-91.41261,-92.482,-87.07086,-94.992195,-99.69542,-97.7072,-91.9515,-98.88256,-94.95905,3.4320755,3.912711,2.3704028,-8.05168,-34.95327,0.0
-98.10302,-114.428055,-97.36494,-115.01686,-100.36852,-97.29681,-100.057434,-97.73409,-114.53629,5.0601683,2.9814987,2.2957666,-8.055786,-34.951504,1.0
-103.37285,-109.12422,-107.36261,-109.77301,-101.78918,-99.091385,-101.57616,-99.39222,-114.51834,5.0131006,3.0072322,2.1108217,-8.055684,-34.951332,1.0
-102.87221,-110.473465,-106.78862,-110.09742,-108.40391,-105.48904,-105.38915,-100.40287,-114.32203,4.9977884,3.0151656,2.0804496,-8.055786,-34.951504,1.0
-105.65133,-114.73216,-106.08134,-104.66367,-98.26293,-93.95448,-97.896324,-95.892784,-114.45583,4.9935455,3.003294,1.987062,-8.055506,-34.95169,1.0
-87.11167,-90.92505,-87.54507,-90.195946,-85.22976,-81.909454,-86.16342,-70.28599,-96.094475,5.4788146,3.135323,2.7109396,-8.05537,-34.950672,0.0
-99.033325,-85.97734,-82.575,-85.68751,-65.79488,-65.885086,-76.89086,-84.164894,-91.325554,7.1354485,2.283174,5.5837717,-8.05949,-34.94638,0.0
-91.66665,-92.646835,-88.3512,-89.160675,-77.18915,-83.0036,-90.93655,-86.56968,-97.0302,5.7076626,2.7930696,3.086153,-8.05638,-34.95068,0.0
-103.73867,-110.53799,-106.15144,-110.06681,-91.53804,-96.487595,-95.994156,-98.68035,-114.26381,4.983601,3.0139759,2.0638213,-8.055786,-34.951504,1.0
-101.65177,-114.80742,-95.81483,-114.49608,-96.03718,-93.87058,-94.76206,-95.0833,-114.420975,4.9840474,2.9946947,2.07857,-8.055605,-34.95173,1.0
-100.52531,-114.8739,-97.08466,-114.687164,-99.17309,-95.21139,-96.420334,-97.39891,-114.40904,5.006119,3.0178099,1.9667969,-8.05538,-34.951736,1.0
-103.96989,-114.98861,-102.746056,-113.72354,-104.47412,-114.22602,-97.56252,-92.49537,-105.699554,5.0374966,2.938655,2.067592,-8.055684,-34.951332,1.0
-105.347916,-113.78061,-105.66574,-106.3152,-95.0093,-96.32183,-97.0034,-96.82375,-114.13178,5.0115795,2.9881968,2.10553,-8.055493,-34.951313,1.0
-107.100655,-112.446236,-106.64724,-110.38351,-105.96159,-108.64949,-100.63182,-101.67492,-113.571365,4.9460034,3.0188458,1.9936099,-8.055605,-34.95173,1.0
-94.257576,-89.61445,-83.39636,-90.611305,-70.91154,-73.732086,-84.88852,-83.177704,-91.67464,6.8213863,3.036714,3.7904077,-8.058701,-34.94902,0.0
-85.83693,-88.84513,-83.696846,-94.72572,-97.38827,-93.68243,-90.833565,-102.14541,-94.697464,3.1050663,4.7402167,2.7252965,-8.04998,-34.95472,0.0
-104.00299,-107.84136,-105.09736,-107.3189,-94.516266,-90.53191,-99.76702,-95.979675,-114.420074,5.003815,3.0036669,2.158449,-8.055605,-34.95173,1.0
-103.15948,-110.15076,-106.5794,-108.64775,-101.52771,-104.88777,-102.49757,-100.742226,-114.546814,4.986141,3.0263267,2.0375266,-8.055784,-34.95161,1.0
-91.19595,-90.04873,-90.20895,-87.796394,-76.79408,-87.000015,-88.183266,-81.96878,-96.76693,5.153434,2.6903942,2.612821,-8.0553,-34.951187,0.0
-89.94152,-81.774734,-98.07314,-87.555824,-106.39405,-100.8775,-94.38296,-102.92756,-91.939354,2.2581308,1.504933,6.094959,-8.04658,-34.94512,0.0
-106.9784,-108.88677,-106.89876,-108.28638,-101.589554,-102.68517,-102.26243,-100.408264,-114.48225,4.9943914,3.0112996,2.0302804,-8.055424,-34.951595,1.0
-103.72303,-109.029686,-107.214325,-109.967865,-95.09442,-89.75148,-98.2822,-96.37418,-114.46641,5.019229,2.9922483,2.0904846,-8.055786,-34.951504,1.0
-103.93103,-110.36318,-106.5516,-109.669914,-95.9364,-101.45756,-98.88378,-98.50336,-114.34516,4.979854,3.023931,2.0270965,-8.055784,-34.95161,1.0
-75.44186,-95.34979,-81.18911,-91.33615,-92.40535,-89.913536,-82.49817,-100.4637,-97.64812,2.8050373,3.996559,2.6364403,-8.04951,-34.95346,0.0
-104.0434,-114.78632,-96.65846,-113.956764,-95.6173,-95.71951,-98.52029,-97.694145,-114.00323,4.9467607,3.012019,3.1471257,-8.055834,-34.951363,1.0
-86.93492,-90.12852,-88.66248,-63.7091,-77.79092,-91.42379,-87.44093,-90.84654,-97.385635,4.2667937,0.50786316,4.4466734,-8.0523,-34.94691,0.0
-101.304276,-114.676125,-97.00238,-114.11918,-94.548584,-96.08466,-98.480034,-95.577705,-114.13355,4.9778786,2.962627,2.5298667,-8.055684,-34.951332,1.0
-108.360146,-107.95819,-106.59292,-107.37607,-104.94415,-104.11092,-104.87411,-102.84509,-114.63151,5.0023875,3.0140667,2.032577,-8.05538,-34.951736,1.0
-91.500175,-93.84786,-93.42412,-63.683464,-82.85492,-78.60104,-85.63539,-90.30349,-98.94473,3.867488,0.9281393,4.4235115,-8.05188,-34.94772,0.0
-105.37397,-113.47955,-104.63394,-109.79724,-97.03206,-97.36722,-98.351654,-98.67279,-114.07299,5.005013,2.9964046,2.1974258,-8.055784,-34.95161,1.0
-109.72869,-113.58165,-108.03156,-109.904724,-107.3581,-106.42046,-97.3308,-101.35188,-114.23504,4.9653897,3.0055652,1.9878654,-8.05538,-34.951736,1.0
-105.31421,-114.92815,-107.06418,-104.2325,-98.670456,-100.046234,-98.515816,-97.776146,-114.51121,5.0384336,3.0141273,2.035563,-8.055605,-34.95173,1.0
-103.388504,-110.579956,-106.09783,-109.67909,-93.112144,-97.17734,-96.306694,-99.442726,-114.20874,4.9960327,2.9891424,2.084308,-8.055684,-34.951332,1.0
-166.31935,-77.842545,-60.730812,-141.7888,-74.15463,-63.288967,-56.763638,-161.86928,-53.640137,7.742854,6.3861,3.8669086,-8.05731,-34.95357,0.0
-99.607086,-100.64468,-98.59272,-99.49364,-86.58973,-88.536934,-100.341805,-92.511345,-114.49543,5.019532,2.984247,2.8707964,-8.055506,-34.95169,1.0
-78.40523,-81.835724,-75.55693,-86.24987,-96.69502,-89.07656,-89.519844,-116.13966,-91.03753,1.6491077,5.154653,3.8207846,-8.04669,-34.9538,0.0
-100.64308,-114.94883,-97.04805,-114.60241,-98.06944,-95.80829,-96.86004,-97.48766,-114.35475,5.0233665,2.9998794,2.0306866,-8.055506,-34.95169,1.0
-80.870636,-95.873886,-84.75691,-99.86073,-96.122055,-86.04236,-82.947365,-99.340775,-87.017784,4.401602,6.39297,1.37089,-8.05153,-34.95984,0.0
-84.384224,-91.59351,-83.08932,-95.244286,-97.013855,-93.43889,-88.552734,-103.62042,-95.77845,2.9857774,4.6659393,2.4731035,-8.04986,-34.9547,0.0
-94.97448,-89.29443,-101.54637,-82.26982,-103.093185,-96.73881,-95.014015,-100.131546,-96.78774,2.4498112,2.0786803,5.638846,-8.048141,-34.94707,0.0
-98.58617,-114.53597,-97.83385,-115.39511,-102.300995,-97.62214,-99.56963,-98.145355,-114.41399,5.0472074,2.9864268,2.2841752,-8.055786,-34.951504,1.0
-89.05038,-93.3092,-89.721725,-83.6177,-84.97476,-82.823616,-98.613914,-81.35291,-97.494576,4.9129186,2.3292563,3.5717049,-8.05504,-34.94989,0.0
-105.68603,-113.41152,-106.43331,-104.92967,-97.56855,-94.0855,-98.80943,-94.24536,-114.64453,4.993738,2.9910052,2.0231597,-8.05538,-34.951736,1.0
-102.9628,-113.082146,-103.82474,-112.61054,-96.58339,-94.05125,-97.35925,-99.14848,-114.23461,4.9936876,2.994129,2.1151166,-8.055786,-34.951504,1.0
-108.76102,-109.95727,-107.04658,-105.89988,-98.04468,-97.99814,-100.56008,-95.046425,-114.550125,4.9990067,2.979142,2.053496,-8.05538,-34.951736,1.0
-100.26748,-114.380844,-97.146255,-114.46138,-98.43441,-96.99881,-99.95237,-96.55455,-114.349236,5.0028768,2.9752345,2.716909,-8.055834,-34.951363,1.0
-103.601685,-109.8958,-106.71067,-110.15684,-98.98826,-98.23087,-100.45032,-98.528404,-114.326675,5.0247955,2.9886608,2.1183114,-8.055786,-34.951504,1.0
-105.8771,-109.050896,-106.92982,-108.34906,-95.61676,-98.31139,-99.821686,-96.305046,-114.53723,4.975196,2.9935477,2.0673761,-8.055493,-34.951313,1.0
-74.623795,-95.7523,-77.742836,-92.36729,-92.12758,-89.12258,-81.39491,-100.12304,-100.30444,2.3198583,3.7449493,2.954091,-8.04854,-34.95287,0.0
-98.18114,-95.7373,-80.71897,-97.91395,-90.459854,-90.304665,-84.284706,-91.025734,-91.27776,4.5378995,4.398007,2.2907326,-8.05319,-34.95396,0.0
-98.69737,-114.53953,-96.41444,-115.32736,-100.50461,-96.145256,-97.655975,-97.70958,-114.44902,5.039242,2.9997332,1.9846444,-8.055506,-34.95169,1.0
-103.68824,-111.220764,-106.458916,-109.465775,-93.69877,-96.10564,-96.85478,-98.02209,-114.35594,4.9878607,3.0014286,2.0620885,-8.055784,-34.95161,1.0
-75.47894,-90.23985,-80.35918,-94.08845,-96.40764,-90.12441,-85.92055,-106.745476,-88.633896,3.318553,6.5819044,3.02788,-8.04819,-34.95947,0.0
-108.36983,-107.01734,-106.68145,-108.58995,-105.083,-102.45389,-103.82142,-101.98325,-114.49754,5.032586,3.0055692,2.0784132,-8.055424,-34.951595,1.0
-88.32041,-98.657036,-88.833115,-95.77068,-92.239395,-92.48819,-82.449646,-69.58551,-95.697945,5.0980825,4.441398,0.92958695,-8.05558,-34.95459,0.0
-99.98695,-102.282364,-98.712456,-100.01054,-87.394646,-88.79452,-99.833405,-93.15301,-114.44905,4.985731,2.9682343,2.81761,-8.055424,-34.951595,1.0
-88.20056,-90.40556,-88.92926,-60.748005,-75.78456,-78.53892,-84.46188,-90.996376,-97.71335,4.066273,0.73063713,4.4003854,-8.05218,-34.94756,0.0
-116.96842,-114.824326,-115.82655,-115.78391,-94.310425,-91.74472,-80.07694,-78.37573,-113.94405,4.9122696,3.0369096,3.3043895,-8.055834,-34.951363,1.0
-162.73842,-77.35441,-60.909218,-135.65163,-84.04194,-67.19777,-57.252556,-159.51158,-55.10307,7.169354,6.130902,3.2458258,-8.05376,-34.95404,0.0
-92.00776,-88.68177,-98.894684,-83.90163,-93.542336,-89.01592,-89.72397,-89.005196,-96.34117,2.7904568,1.7415648,5.361903,-8.04975,-34.94758,0.0
-85.148476,-92.3997,-88.63103,-84.202286,-90.26738,-89.63755,-92.53197,-94.11274,-97.35743,3.3298643,2.336538,3.2569666,-8.05141,-34.950558,0.0
-108.50637,-108.11153,-106.3018,-108.15599,-96.950584,-100.25115,-100.71283,-97.08919,-114.31778,4.97608,3.0112333,2.0270896,-8.055424,-34.951595,1.0
-82.905174,-86.80452,-89.91115,-91.74118,-104.663445,-96.089935,-91.47875,-103.52369,-95.36852,1.3402712,2.478774,5.1796937,-8.04645,-34.94853,0.0
-103.97202,-110.53142,-106.50657,-108.78787,-106.59038,-105.80141,-106.21388,-100.49273,-114.381096,4.9922886,3.0164156,2.025641,-8.055784,-34.95161,1.0
-110.47821,-114.463806,-109.766335,-114.227905,-110.20046,-113.88582,-92.24967,-85.79294,-112.00337,5.008616,3.001395,2.1158834,-8.055684,-34.951332,1.0
-82.017365,-93.0467,-83.51757,-90.71873,-97.17563,-94.159294,-87.92847,-105.72128,-94.16013,1.892421,4.026666,3.5262601,-8.0485,-34.951817,0.0
-98.853,-100.75478,-98.57675,-99.19569,-93.197945,-90.98153,-101.3266,-96.567825,-113.98906,5.095308,2.9704409,3.0805526,-8.055493,-34.951313,1.0
-103.89468,-109.9494,-107.27738,-109.48618,-99.72983,-101.20443,-100.799644,-98.8862,-114.41204,4.981701,2.9947286,2.0894318,-8.055493,-34.951313,1.0
-85.354034,-93.8504,-90.4263,-76.36217,-88.78069,-85.52796,-92.92929,-95.32241,-96.73678,3.4556253,2.0445495,2.8776224,-8.05202,-34.95075,0.0
-99.34736,-100.26407,-98.68213,-99.40781,-91.42106,-90.965546,-100.472496,-96.296974,-114.54374,5.0243444,3.0165248,2.9668782,-8.055424,-34.951595,1.0
-74.49816,-87.65285,-80.82375,-89.461334,-95.40873,-89.782364,-92.64753,-105.9204,-84.550285,3.5792317,6.646408,3.151762,-8.048181,-34.95922,0.0
